CR1
BIN1
INPP5D
CLNK
HLA-DQA1
UNC5CL
TREM2
TREML2
CD2AP
EPDR1
SPDYE3
EPHA1
PTK2B
CLU
USP6NL
SPI1
MS4A4A
EED
SORL1
FERMT2
SLC24A4
SPPL2A
MINDY2
APH1B
BCKDK
IL34
PLCG2
SCIMP
WNT3
ABI3
TSPOAP1
ACE
ABCA7
CASS4
ADAMTS1
SORT1
ADAM17
PRKD3
NCK2
WDR12
MME
IDUA
RHOH
ANKH
COX7C
TNIP1
RASGEF1C
HS3ST5
UMAD1
ICA1
TMEM106B
JAZF1
SEC61G
CTSB
SHARPIN
ABCA1
ANK3
TSPAN14
BLNK
PLEKHA1
TPCN1
SNX1
CTSH
DOC2A
MAF
FOXF1
PRDM7
WDR81
MYO15A
GRN
KLF16
SIGLEC11
LILRB2
RBCK1
SLC2A4RG
APP
