Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes			Genes
GRAFT-VERSUS-HOST DISEASE	1/42	0.147914162	0.37914018	6.46601626	12.35735341	HLA-DQA1			
TUBERCULOSIS	2/179	0.148235258	0.37914018	3.015269507	5.756012846	CR1;HLA-DQA1			
FAT DIGESTION AND ABSORPTION	1/43	0.151158898	0.379323272	6.311746032	11.92556249	ABCA1			
TRANSCRIPTIONAL MISREGULATION IN CANCER	2/189	0.161486267	0.389886297	2.852579853	5.201209182	SPI1;MAF			
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	1/47	0.164016351	0.389886297	5.76173913	10.41600951	HLA-DQA1			
CHEMOKINE SIGNALING PATHWAY	2/191	0.164162651	0.389886297	2.822107822	5.099259758	PLCG2;PTK2B			
MALARIA	1/50	0.173533135	0.404910649	5.408163265	9.4717853	CR1			
AUTOIMMUNE THYROID DISEASE	1/52	0.17981818	0.406622049	5.195555556	8.914581245	HLA-DQA1			
DIABETIC CARDIOMYOPATHY	2/203	0.18038121	0.406622049	2.652010219	4.542052386	ACE;COX7C			
HUMAN IMMUNODEFICIENCY VIRUS 1 INFECTION	2/210	0.189953747	0.419161716	2.561850312	4.255168479	PLCG2;PTK2B			
LEGIONELLOSIS	1/56	0.192247103	0.419161716	4.816727273	7.942656788	CR1			
VEGF SIGNALING PATHWAY	1/59	0.201446644	0.427207474	4.566896552	7.317221978	PLCG2			
HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	2/219	0.202361435	0.427207474	2.454477519	3.921518484	SPI1;HLA-DQA1			
CHEMICAL CARCINOGENESIS - REACTIVE OXYGEN SPECIES	2/222	0.206519015	0.429172328	2.420638821	3.818225602	PRKD3;COX7C			
BASAL CELL CARCINOMA	1/62	0.210542774	0.43033971	4.341639344	6.764562567	WNT3			
LYSINE DEGRADATION	1/63	0.213552036	0.43033971	4.271397849	6.594503271	PRDM7			
ACUTE MYELOID LEUKEMIA	1/67	0.225476299	0.446780989	4.011717172	5.975614112	SPI1			
VIRAL MYOCARDITIS	1/68	0.228429378	0.446780989	3.951641791	5.83471048	HLA-DQA1			
NON-SMALL CELL LUNG CANCER	1/71	0.237222108	0.457254208	3.781714286	5.440973245	PLCG2			
ENDOCYTOSIS	2/248	0.242875507	0.461463463	2.16194243	3.059594513	SNX1;BIN1			
GLIOMA	1/75	0.248792097	0.464867193	3.576576577	4.975510451	PLCG2			
RIBOSOME BIOGENESIS IN EUKARYOTES	1/76	0.251657428	0.464867193	3.528711111	4.868515186	SPPL2A			
BACTERIAL INVASION OF EPITHELIAL CELLS	1/78	0.257355772	0.468881063	3.436709957	4.664632078	CD2AP			
PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES	3/469	0.263783201	0.474096835	1.715973896	2.286754382	APP;COX7C;WNT3			
POLYCOMB REPRESSIVE COMPLEX	1/82	0.268624304	0.474976197	3.266337449	4.293409539	EED			
CARDIAC MUSCLE CONTRACTION	1/83	0.27141497	0.474976197	3.226341463	4.207492474	COX7C			
GNRH SIGNALING PATHWAY	1/90	0.290657562	0.48874166	2.971535581	3.671657501	PTK2B			
ALDOSTERONE SYNTHESIS AND SECRETION	1/92	0.296062725	0.48874166	2.905934066	3.537056273	PRKD3			
RHEUMATOID ARTHRITIS	1/92	0.296062725	0.48874166	2.905934066	3.537056273	HLA-DQA1			
STAPHYLOCOCCUS AUREUS INFECTION	1/95	0.304094346	0.48874166	2.812765957	3.348365189	HLA-DQA1			
MELANOGENESIS	1/96	0.306751405	0.48874166	2.783017544	3.288740858	WNT3			
INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS	1/97	0.309398451	0.48874166	2.753888889	3.230656859	PLCG2			
HYPERTROPHIC CARDIOMYOPATHY	1/98	0.312035522	0.48874166	2.725360825	3.174059444	ACE			
VIRAL PROTEIN INTERACTION WITH CYTOKINE AND CYTOKINE RECEPTOR	1/99	0.314662656	0.48874166	2.697414966	3.118897239	IL34			
AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS	1/100	0.317279889	0.48874166	2.67003367	3.065121123	PLCG2			
PATHWAYS IN CANCER	3/525	0.321918601	0.48874166	1.527475988	1.731327676	SPI1;PLCG2;WNT3			
CHAGAS DISEASE	1/103	0.325072551	0.48874166	2.591111111	2.911649399	ACE			
C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY	1/104	0.327650548	0.48874166	2.565825243	2.862967409	PLCG2			
SYSTEMIC LUPUS ERYTHEMATOSUS	1/104	0.327650548	0.48874166	2.565825243	2.862967409	HLA-DQA1			
TH17 CELL DIFFERENTIATION	1/106	0.332777424	0.48874166	2.516698413	2.769076476	HLA-DQA1			
PROGESTERONE-MEDIATED OOCYTE MATURATION	1/108	0.337865716	0.48874166	2.4694081	2.679571403	SPDYE3			
TOXOPLASMOSIS	1/109	0.340395483	0.48874166	2.446419753	2.63637728	HLA-DQA1			
HIF-1 SIGNALING PATHWAY	1/110	0.342915711	0.48874166	2.423853211	2.594178835	PLCG2			
SEROTONERGIC SYNAPSE	1/111	0.345426436	0.48874166	2.40169697	2.552945224	APP			
"GROWTH HORMONE SYNTHESIS, SECRETION AND ACTION"	1/118	0.362738378	0.495593748	2.257207977	2.288974625	PLCG2			
TNF SIGNALING PATHWAY	1/118	0.362738378	0.495593748	2.257207977	2.288974625	ADAM17			
T CELL RECEPTOR SIGNALING PATHWAY	1/119	0.36517434	0.495593748	2.237966102	2.254483174	NCK2			
THYROID HORMONE SIGNALING PATHWAY	1/119	0.36517434	0.495593748	2.237966102	2.254483174	PLCG2			
PLATELET ACTIVATION	1/125	0.379598326	0.509965428	2.129032258	2.062269261	PLCG2			
OXIDATIVE PHOSPHORYLATION	1/134	0.400629957	0.532837843	1.98406015	1.814853704	COX7C			
OOCYTE MEIOSIS	1/136	0.40520723	0.533589718	1.954469136	1.76558272	SPDYE3			
YERSINIA INFECTION	1/138	0.409750003	0.534281866	1.925742092	1.718162606	PTK2B			
SIGNALING PATHWAYS REGULATING PLURIPOTENCY OF STEM CELLS	1/141	0.416500037	0.537810727	1.884190476	1.650303517	WNT3			
GASTRIC CANCER	1/146	0.427581205	0.540471408	1.818758621	1.54523743	WNT3			
BREAST CANCER	1/146	0.427581205	0.540471408	1.818758621	1.54523743	WNT3			
CUSHING SYNDROME	1/151	0.438454649	0.540471408	1.757688889	1.449212546	WNT3			
NON-ALCOHOLIC FATTY LIVER DISEASE	1/154	0.44488061	0.540471408	1.722962963	1.39551269	COX7C			
MTOR SIGNALING PATHWAY	1/154	0.44488061	0.540471408	1.722962963	1.39551269	WNT3			
CELL ADHESION MOLECULE (CAM) INTERACTION	1/155	0.447006428	0.540471408	1.711688312	1.378221139	HLA-DQA1			
HIPPO SIGNALING PATHWAY	1/155	0.447006428	0.540471408	1.711688312	1.378221139	WNT3			
HEPATITIS B	1/161	0.459593666	0.550684302	1.647	1.280398413	PTK2B			
AUTOPHAGY - ANIMAL	1/167	0.471898077	0.555069134	1.586987952	1.191815661	CTSB			
WNT SIGNALING PATHWAY	1/170	0.477946188	0.555069134	1.558579882	1.15063271	WNT3			
PROTEIN PROCESSING IN ENDOPLASMIC RETICULUM	1/171	0.479946995	0.555069134	1.549333333	1.137334006	SEC61G			
INFLUENZA A	1/171	0.479946995	0.555069134	1.549333333	1.137334006	HLA-DQA1			
HERPES SIMPLEX VIRUS 1 INFECTION	1/181	0.499543465	0.572752421	1.462518519	1.015076579	HLA-DQA1			
MOTOR PROTEINS	1/190	0.516556157	0.587196315	1.392239859	0.919673653	MYO15A			
KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION	1/195	0.525759705	0.592593566	1.356013746	0.871796159	PLCG2			
